DATETIME,RECIPE,ANGLE,RESULT,MOVEMENT_HEAD1_X,MOVEMENT_HEAD2_X,MOVEMENT_HEAD3_X,MOVEMENT_HEAD4_X,MOVEMENT_Y,MOVEMENT_T,HEAD1_RESULT,HEAD1_PIXEL_X,HEAD1_PIXEL_Y,HEAD1_FILE,HEAD2_RESULT,HEAD2_PIXEL_X,HEAD2_PIXEL_Y,HEAD2_FILE,HEAD3_RESULT,HEAD3_PIXEL_X,HEAD3_PIXEL_Y,HEAD3_FILE,HEAD4_RESULT,HEAD4_PIXEL_X,HEAD4_PIXEL_Y,HEAD4_FILE
STRING,STRING,STRING,STRING,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING,BOOL,DOUBLE,DOUBLE,STRING
2017.01.20 00:03:03 582,TFT_SIDE5.46,0,RETRY,-0.3862,-0.4008,-0.5339,-0.4673,0.1145,0.02103,True,780.299692260021,540.993191934357,.\Image\Alignment\2017\01\20\00.03.03 582\Head1.jpg,True,781.219142915617,522.120867449035,.\Image\Alignment\2017\01\20\00.03.03 582\Head2.jpg,True,816.350083440299,503.768083683188,.\Image\Alignment\2017\01\20\00.03.03 582\Head3.jpg,True,801.38580359858,480.671052489288,.\Image\Alignment\2017\01\20\00.03.03 582\Head4.jpg
2017.01.20 00:03:05 422,TFT_SIDE5.46,0,RETRY,-0.0011,0.008,0.0081,-0.0002,0.0058,-0.00037,True,639.631999635789,481.015189541763,.\Image\Alignment\2017\01\20\00.03.05 422\Head1.jpg,True,637.571335515298,482.656099417792,.\Image\Alignment\2017\01\20\00.03.05 422\Head2.jpg,True,637.525092379795,482.817367309282,.\Image\Alignment\2017\01\20\00.03.05 422\Head3.jpg,True,639.376436975032,482.092603985057,.\Image\Alignment\2017\01\20\00.03.05 422\Head4.jpg
2017.01.20 00:03:07 046,TFT_SIDE5.46,0,OK,-0.0013,-0.0017,-0.0023,-0.0006,0,0,True,640.343803390781,480.541480616962,.\Image\Alignment\2017\01\20\00.03.07 046\Head1.jpg,True,640.448105466314,481.112139431078,.\Image\Alignment\2017\01\20\00.03.07 046\Head2.jpg,True,640.618708994147,481.269581208434,.\Image\Alignment\2017\01\20\00.03.07 046\Head3.jpg,True,640.156095860304,480.42530814849,.\Image\Alignment\2017\01\20\00.03.07 046\Head4.jpg
2017.01.20 00:03:26 856,TFT_SIDE5.46,90,RETRY,-0.1123,-0.1491,-0.2767,-0.1889,0.2191,0.01012,True,684.705232235641,555.377550212421,.\Image\Alignment\2017\01\20\00.03.26 856\Head1.jpg,True,686.554184359175,545.113363220149,.\Image\Alignment\2017\01\20\00.03.26 856\Head2.jpg,True,720.153953679692,539.05675088488,.\Image\Alignment\2017\01\20\00.03.26 856\Head3.jpg,True,704.705412171308,526.987459700919,.\Image\Alignment\2017\01\20\00.03.26 856\Head4.jpg
2017.01.20 00:03:28 738,TFT_SIDE5.46,90,RETRY,-0.0037,0.0322,0.0323,-0.0037,0.03,-0.00114,True,639.346535856103,486.108849375662,.\Image\Alignment\2017\01\20\00.03.28 738\Head1.jpg,True,631.576714636626,488.406973082296,.\Image\Alignment\2017\01\20\00.03.28 738\Head2.jpg,True,631.5338176611,488.246055320296,.\Image\Alignment\2017\01\20\00.03.28 738\Head3.jpg,True,639.29849351783,489.290285278201,.\Image\Alignment\2017\01\20\00.03.28 738\Head4.jpg
2017.01.20 00:03:30 387,TFT_SIDE5.46,90,OK,0,-0.0072,-0.0084,-0.0007,0,0,True,639.994598739696,479.34812010134,.\Image\Alignment\2017\01\20\00.03.30 387\Head1.jpg,True,641.913196047654,480.566468942243,.\Image\Alignment\2017\01\20\00.03.30 387\Head2.jpg,True,642.241905750222,479.778359530472,.\Image\Alignment\2017\01\20\00.03.30 387\Head3.jpg,True,640.184007602753,479.299941333001,.\Image\Alignment\2017\01\20\00.03.30 387\Head4.jpg
2017.01.20 00:08:37 643,TFT_SIDE5.46,0,RETRY,-0.3643,-0.373,-0.5073,-0.4448,0.2257,0.019,True,770.901009482777,567.716362067669,.\Image\Alignment\2017\01\20\00.08.37 643\Head1.jpg,True,771.973413252019,550.28488223313,.\Image\Alignment\2017\01\20\00.08.37 643\Head2.jpg,True,807.32765996231,532.908984513863,.\Image\Alignment\2017\01\20\00.08.37 643\Head3.jpg,True,791.698000597929,513.105986175274,.\Image\Alignment\2017\01\20\00.08.37 643\Head4.jpg
2017.01.20 00:08:39 471,TFT_SIDE5.46,0,RETRY,-0.0051,-0.005,-0.0028,-0.0051,0.0026,-0.00045,True,640.575825927573,480.041053520788,.\Image\Alignment\2017\01\20\00.08.39 471\Head1.jpg,True,640.039055524669,480.945765884445,.\Image\Alignment\2017\01\20\00.08.39 471\Head2.jpg,True,639.447223340821,481.643031059165,.\Image\Alignment\2017\01\20\00.08.39 471\Head3.jpg,True,640.549420839862,481.352832677281,.\Image\Alignment\2017\01\20\00.08.39 471\Head4.jpg
2017.01.20 00:08:41 094,TFT_SIDE5.46,0,OK,0.0007,0.0008,0.001,-0.0012,0,0,True,639.824793293988,480.636264568694,.\Image\Alignment\2017\01\20\00.08.41 094\Head1.jpg,True,639.796177405118,481.13026788264,.\Image\Alignment\2017\01\20\00.08.41 094\Head2.jpg,True,639.732623592638,481.240378199372,.\Image\Alignment\2017\01\20\00.08.41 094\Head3.jpg,True,640.308252052385,480.520548162226,.\Image\Alignment\2017\01\20\00.08.41 094\Head4.jpg
