DATETIME,RECIPE,ANGLE,ITEM,RESULT,HEAD1_FOUND,HEAD1_STANDARD_AXIS,HEAD1_RESULT_AXIS,HEAD1_RESULT,HEAD1_LENGTH,HEAD1_FILE,HEAD2_FOUND,HEAD2_STANDARD_AXIS,HEAD2_RESULT_AXIS,HEAD2_RESULT,HEAD2_LENGTH,HEAD2_FILE,HEAD3_FOUND,HEAD3_STANDARD_AXIS,HEAD3_RESULT_AXIS,HEAD3_RESULT,HEAD3_LENGTH,HEAD3_FILE,HEAD4_FOUND,HEAD4_STANDARD_AXIS,HEAD4_RESULT_AXIS,HEAD4_RESULT,HEAD4_LENGTH,HEAD4_FILE
STRING,STRING,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING,BOOL,DOUBLE,DOUBLE,STRING,STRING,STRING
2017.03.11 11:47:15 873,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\11.47.15 873\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\11.47.15 873\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\11.47.15 873\Head3.jpg,True,1005.49333333333,28.9885960304068,NG,0.921,.\Image\DirectCut\2017\03\11\11.47.15 873\Head4.jpg
2017.03.11 14:35:19 035,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\14.35.19 035\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\14.35.19 035\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\14.35.19 035\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\14.35.19 035\Head4.jpg
2017.03.11 14:38:00 992,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\14.38.00 992\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\14.38.00 992\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\14.38.00 992\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\14.38.00 992\Head4.jpg
2017.03.11 16:54:10 087,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\16.54.10 087\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\16.54.10 087\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\16.54.10 087\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\16.54.10 087\Head4.jpg
2017.03.11 17:18:44 421,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\17.18.44 421\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.18.44 421\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.18.44 421\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.18.44 421\Head4.jpg
2017.03.11 17:21:49 730,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\17.21.49 730\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.21.49 730\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.21.49 730\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.21.49 730\Head4.jpg
2017.03.11 17:26:58 315,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\17.26.58 315\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.26.58 315\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.26.58 315\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.26.58 315\Head4.jpg
2017.03.11 17:30:14 430,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\17.30.14 430\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.30.14 430\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.30.14 430\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.30.14 430\Head4.jpg
2017.03.11 17:32:40 773,TFT_SIDE5.46,90,DIRECT CUT,NG,False,,,NG,,.\Image\DirectCut\2017\03\11\17.32.40 773\Head1.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.32.40 773\Head2.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.32.40 773\Head3.jpg,False,,,NG,,.\Image\DirectCut\2017\03\11\17.32.40 773\Head4.jpg
